Date,CustomerID,ProductType,Rating,Total_Ratings,Gender,PaymentMode,ShippingTime,Price,currency_description,price_inr,rating_encoded,ShippingMode_Economy,ShippingMode_Express,ShippingMode_Mail,ShippingMode_Normal,price_scaled,price_minmax_scaled
2020-08-16,10471,Coats/Jackets,1 star,8736,Female,Credit Card,17.0,675036.2138626401,Indian Rupee,675036.2138626401,0,1,0,0,0,1.3949702409219815,1.8261170554537984
2020-08-02,10472,Dresses,2 star,8547,Unspecified,Ewallet,12.0,2315.53,Euro,205966.39350000003,1,0,0,1,0,-0.9516092648275497,1.2520640330494652
2020-08-08,10473,Coats/Jackets,2 star,9833,Unspecified,Prepaid Card,10.0,611426.29122378,Indian Rupee,611426.29122378,1,0,0,1,0,1.0767537743173636,1.748270503063126
2020-08-28,10476,Coats/Jackets,2 star,5347,Female,Direct Deposit,20.0,0.0,,0.0,1,0,0,1,0,-1.9819814970180354,1.0
2020-08-08,10477,Coats/Jackets,5 star,9406,Unspecified,Direct Deposit,14.0,6610.077565000001,British Pound,670460.1674179502,4,0,0,1,0,1.3720780053989936,1.820516837366423
2020-08-08,10478,Jeans,1 star,8554,Unspecified,Direct Deposit,18.0,4287.06,Americal Dollar,351624.66120000003,0,0,0,1,0,-0.22293585419637174,1.4303222905232051
2020-08-01,10479,Pants,4 star,9630,Male,Direct Deposit,12.5,3010.212198,British Pound,305325.82324314,3,0,1,0,0,-0.4545514891685665,1.3736612419773908
2020-08-21,10481,Dresses,2 star,7750,Female,Direct Deposit,17.0,3702.54,Euro,329340.933,1,1,0,0,0,-0.3344129470210324,1.403051208547057
2020-08-18,10482,Pants,5 star,7816,Female,Mobile Payment,10.0,6580.2,Euro,585308.79,4,0,0,1,0,0.9460977601109299,1.7163076057196802
2020-08-11,10483,Cardigan,4 star,7021,Unspecified,Cash,6.0,6756.94,Americal Dollar,554204.2187999999,3,0,1,0,0,0.7904933145795184,1.678241474980025
2020-08-02,10484,Coats/Jackets,1 star,5024,Male,Mobile Payment,18.0,3148.65,Americal Dollar,258252.273,0,0,1,0,0,-0.690042717698308,1.3160520916562608
2020-08-20,10485,Dresses,1 star,9030,Female,Mobile Payment,7.0,9743.11,Americal Dollar,799129.8822,0,0,0,1,0,2.0157640892420536,1.9779843090648477
