Date,CustomerID,ProductType,Rating,Total_Ratings,Gender,PaymentMode,ShippingTime,Price,currency_description,price_inr,rating_encoded,ShippingMode_Economy,ShippingMode_Express,ShippingMode_Mail,ShippingMode_Normal,price_scaled,price_minmax_scaled
2020-08-16,10471,Coats/Jackets,1 star,8736,Female,Credit Card,17.0,675036.2138626401,Indian Rupee,675036.2138626401,0,True,False,False,False,1.2786892749862857,1.8068364001943382
2020-08-02,10472,Dresses,2 star,8547,Unspecified,Ewallet,12.0,2315.53,Euro,213075.0706,1,False,False,True,False,-0.9472356584136261,1.2546777778785079
2020-08-08,10473,Coats/Jackets,2 star,9833,Unspecified,Prepaid Card,10.0,611426.29122378,Indian Rupee,611426.29122378,1,False,False,True,False,0.9721896594266735,1.7308066999432912
2020-08-28,10476,Coats/Jackets,2 star,5347,Female,Direct Deposit,20.0,0.0,,0.0,1,False,False,True,False,-1.9739218186061893,1.0
2020-08-08,10477,Coats/Jackets,5 star,9406,Unspecified,Direct Deposit,14.0,6610.077565000001,British Pound,725456.0127587501,4,False,False,True,False,1.5216332739278888,1.8671006174384486
2020-08-08,10478,Jeans,1 star,8554,Unspecified,Direct Deposit,18.0,4287.06,Americal Dollar,360027.29880000005,0,False,False,True,False,-0.23915742815631635,1.4303222905232051
2020-08-01,10479,Pants,4 star,9630,Male,Direct Deposit,12.5,3010.212198,British Pound,330370.78873050003,3,False,True,False,False,-0.3820550855980267,1.3948753747349634
2020-08-21,10481,Dresses,2 star,7750,Female,Direct Deposit,17.0,3702.54,Euro,340707.73079999996,1,True,False,False,False,-0.3322473097208057,1.4072305950284776
2020-08-18,10482,Pants,5 star,7816,Female,Mobile Payment,10.0,6580.2,Euro,605510.004,4,False,False,True,False,0.943682475572294,1.7237352631994223
2020-08-11,10483,Cardigan,4 star,7021,Unspecified,Cash,6.0,6756.94,Americal Dollar,567447.8212,3,False,True,False,False,0.7602827179308228,1.678241474980025
2020-08-02,10484,Coats/Jackets,1 star,5024,Male,Mobile Payment,18.0,3148.65,Americal Dollar,264423.62700000004,0,False,True,False,False,-0.6998165114749636,1.3160520916562608
2020-08-20,10485,Dresses,1 star,9030,Female,Mobile Payment,7.0,9743.11,Americal Dollar,818226.3778000001,0,False,False,True,False,1.9686402822825462,1.9779843090648475
2020-08-06,10486,Coats/Jackets,1 star,6701,Male,Direct Deposit,19.0,2190.66134375,British Pound,240425.0824765625,0,False,False,True,False,-0.8154516885869422,1.2873678538693767
2020-08-17,10488,Dresses,5 star,7659,Female,Ewallet,10.0,1991.18,Americal Dollar,167219.29640000002,4,False,False,True,False,-1.1681882485194683,1.1998687068629774
2020-08-17,10489,Shirts/Tops,4 star,7273,Unspecified,Direct Deposit,17.0,1749.4,Euro,160979.788,3,True,False,False,False,-1.1982528492381095,1.1924109403120071
