Date,CustomerID,ProductType,Rating,Total_Ratings,Gender,PaymentMode,ShippingMode,ShippingTime,Price
16/08/20,10471,coates,1 start,8736,Female,Creditcard,Economy,17.0,₹ 675036.2138626401
2/8/2020 0:00,10472,dresses ,2 star,8547,Unspecified,Ewallet,Mail,12.0,"€ 2,315.53"
8/8/2020 0:00,10473,,2 star,9833,,Prepaid Card,Mail,10.0,₹ 611426.29122378
,10474,dresses ,2star,7591,Female,Directdeposit,Normal,2133.0,₹ 210869.48083470002
24/08/20,10475,pantas,1 start,5131,Male,,Economy,2133.0,₹ 679422.2811434
28/08/20,10476,Coats/Jackets,2 star,5347,Female,Direct Deposit,Mail,20.0,
8/8/2020 0:00,10477,coates,5 star,9406,Unspecified,Direct Deposit,Mail,14.0,£ 6610.077565000001
8/8/2020 0:00,10478,Jeans,,8554,Unspecified,Direct Deposit,Mail,18.0,"$4,287.06 "
1/8/2020 0:00,10479,pantas,4 star,9630,Male,Direct Deposit,Express,,£ 3010.212198
16/08/20,10480,Pants,1 start,6914,Female,Prepaid Card,Express,19.0,£ 4032878.5368307503
21/08/20,10481,dresses ,2star,7750,Female,,Economy,17.0,"€ 3,702.54"
18/08/20,10482,pantas,5 star,7816,Female,Mobile Payment,Mail,10.0,"€ 6,580.20"
11/8/2020 0:00,10483,Cardigan,4 star,7021,Unspecified,Cash,Express,6.0,"$6,756.94 "
2/8/2020 0:00,10484,Coats/Jackets,,5024,Male,Mobile Payment,Express,18.0,"$3,148.65 "
20/08/20,10485,dresses ,1 start,9030,Female,Mobile,Mail,7.0,"$9,743.11 "
6/8/2020 0:00,10486,coates,1 start,6701,Male,Direct Deposit,,19.0,£ 2190.66134375
17/08/20,10487,Pants,2star,5783,Female,Credit Card,Economy,19.0,£ 25773831.320659
17/08/20,10488,Dresses,5 star,7659,Female,Ewallet,Mail,10.0,"$1,991.18 "
17/08/20,10489,Shirts/Tops,4 star,7273,Unspecified,Direct Deposit,Economy,17.0,"€ 1,749.40"
14/08/20,10490,Shirts/Tops,,9296,Female,,Economy,17.0,"$6,221.36 "
